index,affiliation,application_type,prof_category_1,prof_category_2,employment_type,expected_experience,location,prof_name,subscr_product_name,gross_monthly_salary HUF,gross_monthly_salary EUR,language_nationality,language_level
1911,REIN NO.I. KFT.,website,Skilled Labour,"Driver, Chauffeur, Courier",full time,3-5 years,Országos,Sofőr,start_premium_complex,568181.0,1409.87841191067,none,none
1912,Women's Secret Magyarország Kft.,website,"Sales, Trade",Store Manager,full time,1-3 years,Pest_county,Üzletvezető,optimum,,,english,basic
1913,Melon HR Technology Kft.,website,"Administration, Assistance, Office Work",Tender Writing,full time,1-3 years,"Pest_county,_Budapest",Tanácsadó,optimum,,,none,none
1914,GVS Hungary Kft,website,"Sales, Trade",Commercial Assistant,full time,1-3 years,"Pest_county,_Budapest",Kereskedelmi munkatárs,optimum,600000.0,1488.833746898263,english,intermediate
1915,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
1916,Mind-Diák Szövetkezet,ats,"Marketing,  Media, PR",Marketing,full time,not required,Pest_county,Marketing gyakornok - Diákmunka,normal,,,english,higheradvanced
1917,Mind-Diák Szövetkezet,ats,"Bank, Insurance, Brokering","Bank, Insurance Agent",full time,not required,Pest_county,Vállalati termékfejlesztés gyakornok - Diákmunka,normal,352800.0,875.4342431761787,none,none
1918,Krisztina Masszázs Kft,website,Skilled Labour,Masseur,full time,not required,"Pest_county,_Budapest","Masszőr munkatárs (gyógy, svéd)",start,871212.0,2161.8163771712157,none,none
1919,ERFO Közhasznú Nonprofit Kft.,website,"Manufacturing, Production",Quality Control,full time,starter,"Pest_county,_Budapest",Minőségirányítási koordinátor,normal,,,none,none
1920,ARH Informatikai Zrt.,ats,"Marketing,  Media, PR","Graphic Designer, Photo Editor",full time,1-3 years,"Pest_county,_Budapest",3D grafikus,optimum,,,english,intermediate
1921,Magyar Máltai Szeretetszolgálat Egyesület (KMR),ats,"Manual Work, Unskilled Work, Trained Work",Cleaning,full time,1-3 years,"Pest_county,_Budapest",Takarító (9.kerület),start_prem,,,none,none
1922,ACCOR-PANNONIA HOTELS ZRT. IBIS BUDAPEST,karrierlink,"Manual Work, Unskilled Work, Trained Work",Cleaning,full time,1-3 years,"Pest_county,_Budapest",Szobalány / szobai takarító,start_prem,,,none,none
1923,BENNOVUM Kft.,website,"Transportation, Procurement, Logistics","Economization, Procurement",full time,1-3 years,"Pest_county,_Budapest",Élelmiszer rendelő,optimum,,,none,none
1924,Tiger Stores Hungary Zrt.,website,Skilled Labour,"Shop Assistant, Cashier",full time,1-3 years,Pest_county,Műszakvezető munkatárs (rugalmas munkavégzési hellyel),start_prem,,,english,basic
1925,HungaroControl Zrt.,karrierlink,Engineer,Electrical Engineer,full time,not required,"Pest_county,_Budapest",Junior radarüzemeltető,optimum,,,english,intermediate
1926,BKV Zrt.,karrierlink,Skilled Labour,Guided Transport Systems Driver,full time,not required,"Pest_county,_Budapest",Trolibuszvezető tanuló,start_prem,,,none,none
1927,Piros Orr Bohócdoktorok Alapítvány,website,"Marketing,  Media, PR",Project Manager,full time,3-5 years,"Pest_county,_Budapest",Face to Face adománygyűjtés koordinátor/FR Munkatárs,optimum,,,english,intermediate
1929,Wallis British Motors Kft.,website,Skilled Labour,"Car Repairer, Car Service  Advisor",full time,1-3 years,"Pest_county,_Budapest",Mechanikus szerelő (Autószerelő),start_prem,,,none,none
1930,PATIKA MANAGEMENT Kft.,website,"Finance, Accounting",Controlling,full time,1-3 years,"Pest_county,_Budapest",Kereskedelmi elemző / kontroller,optimum,,,none,none
1931,PANNONFITT Kft.,website,"Sales, Trade",Regional Sales Representative,full time,not required,Országos,Területi képviselő-üzletkötő,optimum,909090.0,2255.8064516129034,none,none
1932,MATERNITY Magánklinika Kft.,website,"Administration, Assistance, Office Work",Receptionist,full time,1-3 years,"Pest_county,_Budapest",Páciens koordinátor (magánklinika),optimum,,,english,intermediate
1933,Viapan Group,ats,"Building Industry, Real Estate",Technical Preparatory,full time,1-3 years,Budapest,Szerszám előkészítő és gazdálkodó,optimum,,,none,none
1934,STETTIN-HUNGARIA Kft.,website,"Building Industry, Real Estate","Building Contractor, General Contractor",full time,5-10 years,"Pest_county,_Budapest",Kirendeltségvezető,optimum,,,english,intermediate
1935,József Attila Színház Nonprofit Kft.,website,"HR, Human Relations","Payroll Assistance, Social Insurance Assistance",full time,3-5 years,"Pest_county,_Budapest","Munkaügyi/
bér- és TB ügyintéző",optimum,,,none,none
1936,GVS Hungary Kft,website,"Sales, Trade",Commercial Assistant,full time,1-3 years,"Pest_county,_Budapest",Kereskedelmi munkatárs,optimum,600000.0,1488.833746898263,english,intermediate
1937,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
1938,Egis Gyógyszergyár Zrt.,karrierlink,"Manufacturing, Production",Leader,full time,3-5 years,Pest_county,Gyógyszergyártó üzemi részlegvezető,optimum,,,none,none
1939,''Jet Travel'' Kft.,website,"Administration, Assistance, Office Work",Receptionist,full time,1-3 years,"Pest_county,_Budapest",Recepciós munkatárs,pro_plus,,,english,intermediate
1940,Las Vegas Casino,ats,"Education, Science, Sports",Tutor,full time,starter,"Pest_county,_Budapest",Pultos,normal,,,none,none
1941,Melon HR Technology Kft.,website,"Finance, Accounting",Accounting,full time,3-5 years,"Pest_county,_Budapest",Könyvelő,optimum,,,english,intermediate
1942,AutoMall Kft.,website,"Client Services, Customer Services",Personal Costumer Service,full time,not required,"Pest_county,_Budapest",Bérbeadási Ügyintéző / Rental Agent,optimum,,,english,intermediate
1943,Kisvakond Zöldtetőépítő Zrt.,website,Skilled Labour,Gardener,full time,1-3 years,Pest_county,"Általános kertész, kertfenntartó",start,492424.0,1221.8957816377172,none,none
1945,Weinberg'93 Kft,website,"Building Industry, Real Estate","Building Industry, Head of Real Estate",full time,3-5 years,Országos,Építésvezető,pro_plus,,,none,none
1946,MVM Optimum Kft.,karrierlink,Engineer,Civil Engineer,full time,5-10 years,"Pest_county,_Budapest",Projektvezető,optimum,,,english,basic
1947,KPMG Tanácsadó Kft.,karrierlink,"Finance, Accounting",Cash Management,full time,3-5 years,Pest_county,Treasury Consultant,optimum,,,english,intermediate
1948,TATA Consultancy Services Hungary,website,Business Supporting Centres,IT Support,full time,not required,Pest_county,Czech Speaking Service Desk Analyst – Level 1,optimum,,,english,intermediate
1949,GRIMAS Kft.,website,Engineer,Mechanical Engineer,full time,not required,Országos,Mérnök értékesítő,optimum,,,english,intermediate
1950,Helit,ats,"Finance, Accounting",Accounting,full time,3-5 years,"Pest_county,_Budapest",Könyvelő,optimum,,,none,none
1952,HYDROTEC Hungary Kft.,website,"Sales, Trade","Engineer, Technical Sales Representative",full time,not required,Országos,Értékesítés támogató mérnök,pro_plus,,,english,higheradvanced
1953,SPORTÉREM Kft.,karrierlink,"Transportation, Procurement, Logistics","Storage, Stockpiling",full time,1-3 years,"Pest_county,_Budapest",Raktáros / rendeléskezelő,optimum,,,none,none
1954,MÜPRO Kft.,website,Engineer,Mechanical Engineer,full time,1-3 years,"Pest_county,_Budapest",Mérnök/ Gépészmérnök,optimum,,,english,intermediate
1955,KPMG Tanácsadó Kft.,karrierlink,"Finance, Accounting",Accounting,full time,1-3 years,"Pest_county,_Budapest",Junior könyvelő / Könyvelő,optimum,,,english,intermediate
1956,KPMG Tanácsadó Kft.,karrierlink,"Finance, Accounting",Accounting,full time,3-5 years,Pest_county,Closing and Reporting Senior Accountant,optimum,,,english,higheradvanced
1957,MAVIR Zrt.,ats,Engineer,Electrical Engineer,full time,starter,"Pest_county,_Budapest",Junior távközlési tervezőmérnök,normal,,,none,none
1958,GVS Hungary Kft,website,"Sales, Trade",Commercial Assistant,full time,1-3 years,"Pest_county,_Budapest",Kereskedelmi munkatárs,optimum,600000.0,1488.833746898263,english,intermediate
1959,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
1960,Accent Hotel Management Kft,ats,"Catering, Hotel, Tourism","Head of Catering, Head of Tourism",full time,3-5 years,Pest_county,Chef,optimum,,,none,none
1961,Díjbeszedő Holding Zrt.,website,"Corporate Leadership, Management",Strategic Adviser,full time,5-10 years,Budapest,Üzleti Igazgató,pro_plus,,,none,none
1962,Chef Market Zrt.,website,"Manual Work, Unskilled Work, Trained Work",Trained Work,full time,not required,"Pest_county,_Budapest",Ládamosó,start_prem,484848.0,1203.0967741935483,none,none
1963,WPA Packaging Kft.,website,Skilled Labour,Printer,full time,1-3 years,"Pest_county,_Budapest",Flexo Gépkezelő -Nyomdász,start_prem,,,none,none
1964,TT Parts Hungary Kft.,website,"Manual Work, Unskilled Work, Trained Work","Handling, Loading",full time,1-3 years,"Pest_county,_Budapest",Raktáros,start_prem,,,none,none
1965,Bernecker Építőipari- Fővállalkozó Zártkörűen Működő Részvénytársaság,website,"Building Industry, Real Estate",Project Management,full time,5-10 years,Pest_county,Projektvezető (építőipar),optimum,,,none,none
1966,Wonderline International Zrt.,website,"IT Operation, Telecommunication",IT Administrator,full time,3-5 years,"Pest_county,_Budapest",Medior Linux rendszergazda,optimum,,,english,intermediate
1967,B-94 Petrol Tech Bt.,website,Skilled Labour,"Shop Assistant, Cashier",full time,not required,"Pest_county,_Budapest","Shop eladó - Budapest XI. kerület, Budaörs",start,530303.0,1315.8883374689826,none,none
1968,SSP Hungary Kft.,website,"Transportation, Procurement, Logistics","Storage, Stockpiling",full time,1-3 years,"Pest_county,_Budapest",Készletadminisztrátor,optimum,,,english,intermediate
1969,Színház- és Filmművészeti Egyetem,website,"Manual Work, Unskilled Work, Trained Work",Other Manual Work,full time,1-3 years,"Pest_county,_Budapest",Színházi díszítő,optimum,,,none,none
1970,XIII. Kerületi Közszolgáltató Zrt.,website,Skilled Labour,Gardener,full time,1-3 years,"Pest_county,_Budapest",Kertész,start_prem,,,none,none
1971,ALTEO Nyrt.,karrierlink,"Finance, Accounting",Accounting,full time,3-5 years,"Pest_county,_Budapest",Számviteli koordinátor / Analitikus könyvelő,optimum,,,none,none
1973,RIPCA Kft,website,Skilled Labour,Auto Electrician,full time,1-3 years,"Pest_county,_Budapest",Autóvillamossági szerelő,pro_plus,,,none,none
1974,Melon HR Technology Kft.,website,Skilled Labour,"Baker, Confectioner",full time,1-3 years,"Pest_county,_Budapest",Cukrász,optimum,,,none,none
1975,HelloPay Zrt.,website,"Sales, Trade",Regional Sales Representative,full time,1-3 years,"Pest_county,_Budapest",Sales Hunter - Services,optimum,,,english,intermediate
1976,XIII. Kerületi Közszolgáltató Zrt.,website,Skilled Labour,Plumbing-gas-heating,full time,1-3 years,"Pest_county,_Budapest",Öntözőrendszer karbantartó technikus,start_prem,,,none,none
1977,FORNAX ICT Kft.,website,"Administration, Assistance, Office Work",Personal Assistant,full time,3-5 years,"Pest_county,_Budapest",Vezetői asszisztens,optimum,675000.0,1674.937965260546,english,basic
1978,Deichmann Cipőkereskedelmi Kft.,karrierlink,"Marketing,  Media, PR","Marketing, Media, PR Manager",full time,1-3 years,"Pest_county,_Budapest",Social Media Manager,pro_plus,,,english,intermediate
1979,HG BackOffice Kft.,website,"Finance, Accounting",Accounting,full time,3-5 years,"Pest_county,_Budapest",Könyvelő,optimum,875000.0,2171.2158808933004,none,none
1980,GVS Hungary Kft,website,"Sales, Trade",Commercial Assistant,full time,1-3 years,"Pest_county,_Budapest",Kereskedelmi munkatárs,optimum,600000.0,1488.833746898263,english,intermediate
1981,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
1982,K-MED Kft.,website,"Healthcare, Pharmaceutical Industry",Healthcare Assistant,full time,1-3 years,"Pest_county,_Budapest",Egészségügyi asszisztens,optimum,,,none,none
1983,Bus-Service Járműjavító és Szolgáltató Kft.,karrierlink,Skilled Labour,Auto Electrician,full time,1-3 years,Pest_county,Autóvillamossági szerelő (műszakos),start_prem,,,none,none
1984,HUNAM Personnel Solutions Korlátolt Felelősségű Társaság,website,"Finance, Accounting",Controlling,full time,3-5 years,"Pest_county,_Budapest",Tarifa szakértő - árszabályozási szakértő,optimum,,,english,higheradvanced
1985,Garzon Bútor Kereskedelmi Korlátolt,website,"Building Industry, Real Estate",Project Management,full time,1-3 years,"Pest_county,_Budapest",Projektmenedzser (belsőépítészeti területre),optimum,,,none,none
1987,DUNA HOUSE FRANCHISE Kft.,website,"Sales, Trade",Sales and Trade Manager,full time,5-10 years,"Pest_county,_Budapest",Digitális értékesítési vezető,optimum,,,english,higheradvanced
1988,TATA Consultancy Services Hungary,website,Business Supporting Centres,Financial Support,full time,not required,Pest_county,Swedish Speaker Junior Financial Analyst,optimum,,,english,higheradvanced
1989,Pénzjegynyomda Zrt.,website,Skilled Labour,"Security Guard, Guard, Doorman",full time,1-3 years,"Pest_county,_Budapest",Fegyveres Biztonsági Őr,start_prem,,,none,none
1990,Matusz-Vad Zrt.,karrierlink,"Marketing,  Media, PR","Marketing, Media, PR Manager",full time,5-10 years,"Pest_county,_Budapest",Marketing Manager,optimum,,,english,intermediate
1991,Bunge Zrt.,website,"Sales, Trade",Regional Sales Representative,full time,1-3 years,Pest_county,Sales Representative (FMCG szektor),optimum,,,none,none
1992,THERMAL HOTEL AQUINCUM Zrt.,website,"Manual Work, Unskilled Work, Trained Work",Cleaning,full time,1-3 years,"Pest_county,_Budapest",Szállodai szobatakarító,start_prem,,,english,basic
1993,Chef Market Zrt.,website,"Client Services, Customer Services",Call Center Services,full time,1-3 years,"Pest_county,_Budapest",Ügyfélszolgálati munkatárs,optimum,500000.0,1240.6947890818858,none,none
1994,Danucem Magyarország Kft.,karrierlink,"Transportation, Procurement, Logistics","Logistic Specialist, Transport Organizer",full time,1-3 years,"Pest_county,_Budapest",Logisztikai specialista,optimum,,,english,intermediate
1995,GVC Trade House Zrt.,website,"Transportation, Procurement, Logistics","Economization, Procurement",full time,1-3 years,"Pest_county,_Budapest",Beszerző munkatárs,normal,,,none,none
1996,first facility Kft.,website,"Building Industry, Real Estate",Facility Manager,full time,1-3 years,"Pest_county,_Budapest",Site manager,optimum,,,english,intermediate
1997,ANVIT Kft.,website,Skilled Labour,Electrician,full time,1-3 years,Pest_county,Villanyszerelő,start_prem,757575.0,1879.8387096774193,none,none
1998,Randstad Sourceright Ltd.,website,"HR, Human Relations","Recruitment, Selection",full time,1-3 years,Országos,Senior Recruitment Specialist (German speaking),optimum,,,english,higheradvanced
1999,Bethlen Gábor Alapkezelő Zrt.,website,Business Supporting Centres,Head of Unit,full time,1-3 years,"Pest_county,_Budapest",Osztályvezető – támogatás elszámolási terület,optimum,,,none,none
2000,GRÁNIT Bank Nyrt.,website,"Bank, Insurance, Brokering","Bank, Insurance Agent",full time,1-3 years,"Pest_county,_Budapest",Lakossági jelzáloghitel-referens,optimum,,,none,none
2001,Marione 2005 Kft.,website,"Administration, Assistance, Office Work",Data Analyst,full time,1-3 years,"Pest_county,_Budapest",Könyvelő- adatrögzítő,normal,425000.0,1054.590570719603,none,none
2002,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
2003,GVS Hungary Kft,website,"Sales, Trade",Commercial Assistant,full time,1-3 years,"Pest_county,_Budapest",Kereskedelmi munkatárs,optimum,600000.0,1488.833746898263,english,intermediate
2004,Roche Szolgáltató (Európa) Kft.,karrierlink,"Marketing,  Media, PR",Project Manager,full time,3-5 years,"Pest_county,_Budapest",Product Manager - Pathology portfolio,optimum,,,english,higheradvanced
2005,FÁBER Kft.,website,"Finance, Accounting",Accounting,full time,3-5 years,"Pest_county,_Budapest",Könyvelő,optimum,,,none,none
2006,WABERER'S INTERNATIONAL Nyrt.,website,"Sales, Trade",Sales Representative,full time,3-5 years,"Pest_county,_Budapest",Junior értékesítési menedzser,optimum,,,english,intermediate
2007,Magyar Állami Operaház,website,"Manual Work, Unskilled Work, Trained Work",Cleaning,full time,1-3 years,"Pest_county,_Budapest",Takarítás szervező-helyettes,start_prem,,,none,none
2008,Hun-Ren Központ,website,"Administration, Assistance, Office Work",Secretary,full time,3-5 years,"Pest_county,_Budapest",Titkársági referens,optimum,,,none,none
2009,Wolt Magyarország Kft.,karrierlink,Skilled Labour,"Driver, Chauffeur, Courier",full time,not required,Pest_county,Futár,start_prem,,,none,none
2010,Provident Pénzügyi Zrt.,karrierlink,"Bank, Insurance, Brokering","Bank, Insurance Agent",full time,not required,Pest_county,Ügyfélkapcsolati operátor,optimum,,,none,none
